Axiom,one_side
( x + y ) + z = x + ( y + z ),0
x + y = y + x,1
( x * y ) * z = x * ( y * z ),0
x * y = y * x,1
x * ( y + z ) = x * y + x * z,0

x + 0 = x,0
x * 0 = 0,0
x * 1 = x,0
1 + 1 = 2,0
2 + 1 = 3,0
3 + 1 = 4,0

x ** 1 = x,0
x ** 0 = 1,0
x ** ( y + z ) = ( x ** y ) * ( x ** z ),0
( x * y ) ** z = ( x ** z ) * ( y ** z ),0
( x ** y ) ** z = x ** ( y * z ),0
1 ** -1 = 1,0
x / y = x * y ** -1,0
x / y = ( y / x ) ** -1,0
x / ( y / z ) = ( x * z ) / y,0

-1 * -1 = 1,0
x - y = x + ( -1 * y ),0
x - x = 0,0

-1 * 1 = -1,0
-2 = -1 * 2,0
-3 = -1 * 3,0
-4 = -1 * 4,0

ln ( x ** y ) = y * ln ( x ),0
ln ( x * y ) = ln ( x ) + ln ( y ),0
ln ( 1 ) = 0,0
ln ( E ) = 1,0
E ** ln ( x ) = x,0

sin ( x ) ** 2 + cos ( x ) ** 2 = 1,0
sin ( x + y ) = sin ( x ) * cos ( y ) + cos ( x ) * sin ( y ),0
sin ( x - y ) = sin ( x ) * cos ( y ) - cos ( x ) * sin ( y ),0
cos ( x + y ) = cos ( x ) * cos ( y ) - sin ( x ) * sin ( y ),0
cos ( x - y ) = cos ( x ) * cos ( y ) + sin ( x ) * sin ( y ),0
tan ( x ) = sin ( x ) / cos ( x ),0
tan ( x + y ) = ( tan ( x ) + tan ( y ) ) / ( 1 - tan ( x ) * tan ( y ) ),0
tan ( x - y ) = ( tan ( x ) - tan ( y ) ) / ( 1 + tan ( x ) * tan ( y ) ),0
tan ( -1 * x ) = -1 * tan ( x ),0
tan ( 2 * x ) = 2 * tan ( x ) / ( 1 - tan ( x ) ** 2 ),0
tan ( x / 2 ) = sin ( x ) / ( 1 + cos ( x ) ),0
tan ( pi + x ) = tan ( x ),0
tan ( pi - x ) = -1 * tan ( x ),0
sin ( -1 * x ) = -1 * sin ( x ),0
sin ( ( pi / 2 ) - x ) = cos ( x ),0
sin ( 2 * x ) = 2 * sin ( x ) * cos ( x ),0
sin ( pi + x ) = -1 * sin ( x ),0
sin ( pi - x ) = sin ( x ),0
cos ( ( pi / 2 ) - x ) = sin ( x ),0
cos ( 2 * x ) = cos ( x ) ** 2 - sin ( x ) ** 2,0
cos ( 2 * x ) = 2 * cos ( x ) ** 2 - 1,0
cos ( 2 * x ) = 1 - 2 * sin ( x ) ** 2,0
cos ( pi + x ) = -1 * cos ( x ),0
cos ( pi - x ) = -1 * cos ( x ),0
cos ( -1 * x ) = cos ( x ),0
